,images,text
0,96fb0db2-83d5-42cb-8422-b078f67d2c11.jpg,"['bellacentromezcomm', 's nen', 'farmacias', 'imilares', 'dne', ' aa', 'be s ta', 'barato', 'as', 'consultoric', ' medico', 'ra', ' pero', 'lo misi', 'imas', 'n']"
1,24fa0498-959c-461a-ac97-c106d135a545.jpg,"['el', 'farmacia', 'g', 'isis', 'vyeso', 'é', 'g']"
2,a7a38214-201e-4d60-913a-64b2ec26ec9a.jpg,"['yitifarmas', 'genéricos', 'u', 'na licos', 'e', 'ervieto ', ' mlnico']"
3,acf0130d-9968-4ec0-8f28-bc9bd229d521.jpg,"['be ere', 'aledoia', 'tun', 'w', 'ne']"
4,4e39a5d5-e949-4a5f-89b3-67584e9d596c.jpg,['y']
5,2cc1fc16-525f-40f2-9f4b-6c1133e54af8.jpg,"['a í', 'armpci', 'tn para ey', 'ilaresm', 'fiest', 'arato', 'mismo', 'pers ma', 'lo', 'n admecias', 'v ', 'hoaa', 'dr simi o', 'yx m', 'oqaa', 'n', 'm', 'octidos', 'fenestc', 'rene']"
6,b1a1b23d-d49f-41cd-9ca4-dc2eef41712e.jpg,"['ama', ' u', 'tca', 'anu', 't', 'olumar', 'di', 'nsepticiona', 'de', 'e', 'ra']"
7,7756bca1-4c71-44b2-b505-798201b5859f.jpg,"['farmacia', 'senericos', 'im', 'netflix', 'e', 'eo', 'drarios', 'del', 'enc']"
8,af49cbb0-050d-4770-9cea-b99f86136b7a.jpg,"['es', 'milares', ' to', ' barato', 'medico', 'y ismo ', 'es', ' pero y', 'o mas ', 'esperial', 's', 'espreras', 'mon']"
9,b1f0b1d3-4b9f-4938-a7b4-77e44b24e14a.jpg,"['eº se', 'l', 'ea', 'enn', 'n', 'a']"
10,6e284ba2-11c6-4fd4-85a3-1d18872989f9.jpg,"['armacias', 'generosa', ' ciós', 'm', 'e', ' l de', 'r', 'la c', 'm', ' ue d', 'e', '_']"
11,4493d3de-200c-4733-9dee-50ff9687c428.jpg,"['parmacia', 'farmacias', 'o mismo pe', 'ero mas bagar', 'similas', 'ea', 'faracus', 'r', 't', 'res', 'ares']"
12,62901b18-d560-46da-ba31-337bdcc1dc79.jpg,"['consulta', 'milals e y', 'bnicos', 'fremine', 'simitar', 'medica', 'un', 'ad ó', 'ti']"
13,8d5d36e3-1e54-4ec4-8281-48074f7a9662.jpg,"[' ', 'be', 'geaºººº', 'a', 'gu', 's', ' ']"
14,d0792049-0ff3-41b5-a65c-cbaa95d13623.jpg,"['__', 'c  a', 'l w', 'farmacia', 'farmacia', 'isidro', 'isidro', 'isidro', 'farm', 'ciasi', 'san', 'sidro', 'san', 'san', 'tar']"
15,6bf11ae2-36ee-4cae-b11f-8c91e7228f34.jpg,"['fes', 'dy', 'fm', 'b', '_m y al', 'ty', 'pe', 'ur', 'misto', 'm', ' mas', 'a', 'loy', 'anu', 'e', 'm', 'bey']"
16,7430efff-d73f-4e6e-85ce-9403906efb09.jpg,"['farmacias', 'farmacia', 'tecargas tolof', 'suede', 'd', 'de', 'ea', 'a', 'jucalison', 'a i', 'ne', '  vivos', 'y del', ' soft', 'a barño y seganjegen aa', 'é']"
17,5ffc7715-c095-43a3-baea-827007873fad.jpg,"['aaci', 'pakslo ', 'alergia', 'a']"
18,40d8d944-87d7-45ee-ad8a-6486a1c7924d.jpg,"[' dit ie', 'walmart', 'ií ta', 'el']"
19,e7bfc55e-a39d-48dc-b5d4-7bee566d1f9e.jpg,"['sa', 'io', 'bgl', 'similares', 'taxi', 'y', 'a', 'nen', 'd', 'sa', 'eo']"
20,88f9f13a-a041-450f-a1fa-035112bfd03a.jpg,"['taxi', 'farmacias', 'ahorro', 'zrvz', 'l', 'o', ' medicinas', 'hasta', 'dr', 'ea', 'del', ' u', 'e', 've', 'd', 'a', 'morario']"
21,e589941f-e73e-4658-bbd0-c95b8f43c148.jpg,"['yrí', ' mejor', 'coloria', 'gra', 'acíl', 'razórr', 'gincó', 'cor', 'tel', '   y']"
22,266a0c2b-c5c8-4a2b-8986-c222f932e1d9.jpg,"['armacéutic', 'negoco', 'xppres', 'ervie', 'complemento', 'un y', 'para', 'más', 'su']"
